Population Size:50 Total Generations:100 Mutation SD:5 Survival Rate:5.0% Game Iterations:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
CC #,3092,973,274,322,435,400,463,485,549,418,430,280,395,340,208,496,453,569,635,285,251,236,340,363,454,358,747,1214,1716,1988,1762,1399,1650,1273,1011,1032,597,204,118,77,68,32,35,35,30,80,36,85,37,50,20,45,56,89,43,42,25,23,31,42,83,60,37,50,12,17,9,18,8,31,21,21,60,42,55,21,42,28,34,35,31,17,43,50,34,47,40,92,28,36,17,29,17,29,38,50,35,31,21,19
DC #,6116,5209,2254,2212,2340,3032,2209,2774,2777,2396,2326,2730,2963,2853,1902,2883,2316,2865,4045,2675,2277,2088,2272,2289,2429,2306,2988,3901,4872,5282,4617,5006,5396,5021,4340,4552,3266,1694,1748,1647,1072,859,894,987,1065,1291,993,1445,925,1018,933,1178,1208,1699,1283,1231,859,880,1113,707,1239,1096,896,1085,711,909,631,617,585,1295,984,807,1110,1089,923,930,712,732,963,998,985,1037,870,1455,1138,1016,1480,2211,842,1028,937,1226,1203,1109,925,871,709,990,796,752
DD #,3042,6068,9722,9716,9475,8818,9578,8991,8924,9436,9494,9240,8892,9057,10140,8871,9481,8816,7570,9290,9722,9926,9638,9598,9367,9586,8515,7135,5662,4980,5871,5845,5204,5956,6899,6666,8387,10352,10384,10526,11110,11359,11321,11228,11155,10879,11221,10720,11288,11182,11297,11027,10986,10462,10924,10977,11366,11347,11106,11501,10928,11094,11317,11115,11527,11324,11610,11615,11657,10924,11245,11422,11080,11119,11272,11299,11496,11490,11253,11217,11234,11196,11337,10745,11078,11187,10730,9947,11380,11186,11296,10995,11030,11112,11287,11329,11506,11229,11433,11479
Cooperator #,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defector #,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,5,16,43,18,16,0,4,1,19,13,10,4,4,0,10,13,32,41,46,46,48,49,50,50,50,50,50,50,48,45,50,49,45,48,49,49,50,50,50,50,50,50,49,50,48,50,50,50,50,50,50,50,50,50,50,47,50,50,50,50,50,50,50,43,46,47,46,50,50,47,50,47,48,41,38,31,31,45,47,47,42,35,48
Tit4Tat #,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Strats #,48,40,50,50,50,50,50,50,50,50,50,50,50,50,48,46,48,45,34,7,32,34,50,46,49,31,37,40,46,46,50,40,37,18,9,4,4,2,1,0,0,0,0,0,0,2,5,0,1,5,2,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,4,3,4,0,0,3,0,3,2,9,12,19,19,5,3,3,8,15,2
Agent Reward Means,110.43,88.04,64.72,64.85,66.52,70.39,65.96,69.52,70.05,66.72,66.4,67.62,69.94,68.84,62.08,70.27,66.52,70.74,78.35,67.33,64.67,63.42,65.35,65.64,67.21,65.7,72.9,82.12,91.96,96.6,90.8,90.23,94.58,89.31,83.13,84.57,73.37,60.8,60.43,59.5,55.98,54.41,54.64,55.2,55.63,57.39,55.25,58.35,54.85,55.51,54.76,56.43,56.7,59.91,57.04,56.72,54.35,54.46,55.93,53.58,57.1,56.06,54.67,55.91,53.36,54.59,52.86,52.85,52.57,57.02,55.07,54.01,56.14,55.87,54.98,54.75,53.61,53.62,55.05,55.27,55.16,55.36,54.56,58.13,56.1,55.47,58.2,63,54.28,55.46,54.76,56.59,56.35,55.89,54.85,54.63,53.53,55.19,53.94,53.66
Agent Reward SDs,9.55,11.81,5.4,4.92,4.43,5.86,5.14,5.22,4.65,5.35,5.46,5.46,5.68,5.82,3.94,5.51,4.08,5.65,7.65,5.08,4.93,4.16,4.34,3.66,4.25,4.14,3.29,4.37,3.28,4.13,4.04,3.71,3.67,4.45,4.95,4.93,3.62,2.49,3.4,4.08,3.01,2.84,2.08,2.74,3.12,3.13,2.15,2.65,2.52,2.49,2.72,2.56,2.92,3.89,3.41,3.24,2.84,2.89,3.32,2.13,2.28,2.07,2.79,2.46,2.38,3.6,2.46,2.38,2.47,3.73,3.61,2.78,2.4,2.17,1.8,2.86,2.04,1.98,2.38,3.3,3.09,3.45,2.25,3.67,3.24,3.02,4.35,5.57,2.83,3.01,2.86,3.93,3.74,3.37,3.32,3.26,2.28,3.35,2.68,2.88
Strategy Counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDDDC,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCCCD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCDCD,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
